Switch test assignment,[0, 0, 0, 1],0.0,[0, 100.0, 0, 0],0.0
Free of address-of first field,[0, 0, 0, 40],0.0,[0, 10.0, 0, 0],0.0
Incorrect pointer increment,[0, 0, 0, 1],0.0,[0, 0.0, 0, 0],0.0
Allocation size with '&',[0, 0, 0, 10],0.0,[0, 0.0, 0, 0],0.0
Allocation too small for string,[0, 0, 0, 1],0.0,[0, 0.0, 0, 0],0.0
Unguarded read,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Resource leak on an exceptional path,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Volatile not atomically updated,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Check of thread-shared field evades lock acquisition,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Indefinite wait,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Unsafe deserialization,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Unguarded write,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Risky cryptographic hashing function,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Failure to call super.clone(),[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Insecure SSL/TLS: bad TrustManager,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
SQL injection,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Use of hard-coded password,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Filesystem path, filename, or URI manipulation,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
OS Command Injection,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Missing call to superclass,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Unsafe reflection,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Call to an inherently dangerous function,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Bad choice of lock object,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Wrong method called,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Filesystem path or filename manipulation,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Cross-site scripting,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Thread unsafe modification in singleton,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Exception not thrown,[0, 0, 0, 0],0.0,[0, 0, 0, 0],0.0
Missing/multiple returns,[0, 0, 0, 1],0.0,[0, 0, 0, 100.0],0.0
Integer overflow,[0, 0, 0, 2],0.0,[0, 0, 0, 100.0],0.0
